cohort,anchor,n,mean_vol_ratio,p50_vol_ratio,mean_abs_ret_pct,mean_signed_ret_pct,corr_30m,corr_60m,hv_n,hv_mean_abs_ret_pct,hv_corr_30m
AUTO,11:30,1852,1.056,0.666,0.0911,-0.0004,-0.0486,-0.0725,327,0.1425,-0.0467
AUTO,12:30,1844,1.039,0.666,0.0872,0.0047,0.0489,0.0127,309,0.1681,0.1074
AUTO,13:00,1844,1.044,0.675,0.0788,-0.0015,-0.0724,-0.0225,300,0.1316,-0.1317
AUTO,13:30,1844,1.055,0.687,0.081,0.0,0.0327,0.0613,294,0.1379,0.1438
AUTO,14:30,1844,1.036,0.74,0.0858,0.0086,-0.0569,,347,0.1289,0.0402
BANK,11:30,2778,1.042,0.739,0.0789,-0.0018,0.1172,0.0702,510,0.1222,0.1784
BANK,12:30,2766,1.049,0.738,0.0797,0.0062,0.0928,0.126,460,0.134,0.2274
BANK,13:00,2766,1.039,0.7,0.0755,0.0017,-0.118,-0.0262,480,0.114,-0.2607
BANK,13:30,2766,1.042,0.726,0.0808,-0.0016,0.0049,-0.0011,485,0.1333,0.033
BANK,14:30,2766,1.038,0.759,0.0933,0.005,-0.0627,,473,0.1528,-0.204
BROAD_MARKET_NIFTYBEES,11:30,463,1.048,0.618,0.0364,-0.0036,0.1075,-0.0058,78,0.057,0.169
BROAD_MARKET_NIFTYBEES,12:30,461,1.065,0.608,0.0367,-0.0033,0.0812,0.0721,79,0.0683,0.2062
BROAD_MARKET_NIFTYBEES,13:00,461,1.075,0.638,0.038,-0.0057,-0.1689,-0.0504,85,0.0596,-0.2769
BROAD_MARKET_NIFTYBEES,13:30,461,1.094,0.63,0.0432,-0.002,0.0557,-0.0256,80,0.0775,0.3121
BROAD_MARKET_NIFTYBEES,14:30,461,1.067,0.61,0.0437,-0.0017,0.041,,89,0.0571,-0.1936
FMCG_DOMESTIC,11:30,2315,1.09,0.635,0.0804,-0.0028,-0.0518,-0.0898,409,0.1412,-0.1021
FMCG_DOMESTIC,12:30,2305,1.1,0.649,0.0748,0.0021,0.1078,0.0808,389,0.1238,0.1994
FMCG_DOMESTIC,13:00,2305,1.076,0.646,0.0687,-0.0025,-0.0669,-0.0213,394,0.1132,-0.0911
FMCG_DOMESTIC,13:30,2305,1.08,0.683,0.07,-0.0011,0.0061,0.0205,368,0.1249,-0.011
FMCG_DOMESTIC,14:30,2305,1.069,0.724,0.0751,0.0039,-0.0293,,411,0.1253,-0.0966
IT,11:30,2315,1.03,0.712,0.0863,-0.0044,0.0167,-0.0014,440,0.1339,0.0386
IT,12:30,2305,1.041,0.708,0.0799,0.0034,0.0601,0.0687,444,0.1214,0.1833
IT,13:00,2305,1.034,0.742,0.076,0.0009,-0.0723,-0.0482,391,0.1168,-0.0271
IT,13:30,2305,1.042,0.741,0.0775,-0.0034,-0.0312,0.0071,402,0.1312,-0.0708
IT,14:30,2305,1.037,0.775,0.0799,0.0018,0.0003,,413,0.1166,-0.0952
METAL,11:30,2315,1.048,0.669,0.1084,-0.0064,-0.0398,-0.1369,411,0.1925,-0.1912
METAL,12:30,2305,1.07,0.678,0.1054,-0.0001,0.0882,0.0357,407,0.1817,0.1748
METAL,13:00,2305,1.071,0.694,0.099,-0.0047,0.0586,0.0512,383,0.1666,0.2459
METAL,13:30,2305,1.041,0.692,0.1014,0.0017,-0.0529,-0.0902,397,0.1751,-0.03
METAL,14:30,2305,1.037,0.71,0.1138,0.002,-0.0904,,402,0.1891,-0.1185
OIL_ENERGY,11:30,1852,1.057,0.708,0.0991,-0.0091,-0.0365,-0.0502,333,0.1694,-0.0499
OIL_ENERGY,12:30,1844,1.064,0.699,0.0973,0.0066,0.1186,0.1106,339,0.1799,0.2373
OIL_ENERGY,13:00,1844,1.058,0.715,0.0929,-0.0024,-0.0311,0.0106,326,0.1658,0.003
OIL_ENERGY,13:30,1844,1.077,0.714,0.0957,0.003,-0.127,-0.1442,303,0.1696,-0.1489
OIL_ENERGY,14:30,1844,1.06,0.747,0.1055,0.0033,-0.0729,,334,0.1843,-0.2365
PHARMA,11:30,2315,1.085,0.608,0.0975,-0.003,-0.01,0.0012,403,0.1539,0.0454
PHARMA,12:30,2305,1.049,0.623,0.0935,0.0079,0.157,0.1341,406,0.1677,0.2849
PHARMA,13:00,2305,1.06,0.643,0.0819,0.0008,-0.0598,-0.0187,385,0.1339,-0.0427
PHARMA,13:30,2305,1.063,0.637,0.082,0.0009,-0.0664,-0.0491,406,0.1327,-0.0848
PHARMA,14:30,2305,1.051,0.706,0.0905,0.0042,0.0512,,408,0.1412,0.1861
PSU_BANK_DOMESTIC,11:30,2315,1.037,0.683,0.1154,-0.0101,0.0078,-0.0318,420,0.2102,-0.0686
PSU_BANK_DOMESTIC,12:30,2305,1.028,0.673,0.1119,-0.0011,0.0617,0.0622,399,0.2145,0.1412
PSU_BANK_DOMESTIC,13:00,2305,1.035,0.643,0.1067,0.0031,-0.017,0.0194,419,0.1859,0.0005
PSU_BANK_DOMESTIC,13:30,2305,1.044,0.626,0.1199,0.0009,0.0611,0.0065,393,0.242,0.1421
PSU_BANK_DOMESTIC,14:30,2305,1.008,0.687,0.1363,0.0117,-0.0947,,401,0.2386,-0.189
REALTY,11:30,1852,1.117,0.581,0.1349,-0.0004,0.039,0.0191,343,0.2365,0.0155
REALTY,12:30,1844,1.131,0.612,0.1243,-0.0031,0.0681,0.0276,342,0.2124,0.143
REALTY,13:00,1844,1.184,0.602,0.125,-0.0067,-0.0756,-0.0932,318,0.2094,-0.0686
REALTY,13:30,1844,1.161,0.607,0.1218,0.0028,-0.0287,-0.0773,307,0.2126,-0.0089
REALTY,14:30,1844,1.101,0.679,0.1284,0.0131,-0.0331,,350,0.2049,-0.1658
