cell,circular_date,effective_date,session_date,T1_entry_date,gap_days,is_post_oct_1_2025,symbol,bare_symbol,cap_segment,adv_t30_rupees,vol_30d_avg_5m,vol_window_avg_5m,vol_ratio,side,entry_ts,entry_price,entry_open,day_high_so_far,hard_sl,t1_target,t2_target,stop_distance,hit_t1,exit_ts,exit_price,exit_reason,qty,realized_pnl,fee,net_pnl,multi_day_net,multi_day_pct,circular_ref
A,2024-12-20,2025-02-28,2024-12-20,2024-12-20,70,False,NSE:COROMANDEL,COROMANDEL,large_cap,842597665.6416665,6288.718666666667,10747.0,1.7089331817249895,SHORT,2024-12-20 09:30:00,1840.2,1845.05,1854.3,1863.5714999999998,1821.798,1803.396,23.37149999999974,True,2024-12-20 11:05:00,1830.9990000000003,t1_partial+be_trail,42,386.4420000000009,81.98019000334801,304.4618099966529,-1282.2042445258,-1.5382969046790929,FAOP65702
A,2024-12-20,2025-02-28,2024-12-20,2024-12-20,70,False,NSE:INDIAMART,INDIAMART,mid_cap,500788209.8450001,2848.203111111111,7506.0,2.6353457626383388,SHORT,2024-12-20 09:30:00,2355.0,2366.0,2373.0,2384.865,2331.45,2307.9,29.86499999999978,True,2024-12-20 12:10:00,2319.318181818182,t1_partial+t2_full,33,1177.5000000000014,82.100229015,1095.3997709850014,2770.017528527594,3.7993653032440067,FAOP65702
A,2024-12-20,2025-02-28,2024-12-20,2024-12-20,70,False,NSE:IPCALAB,IPCALAB,large_cap,836734559.9183333,7224.577333333334,17669.5,2.4457486140365674,SHORT,2024-12-20 09:30:00,1588.6,1591.9,1607.95,1612.4289999999999,1572.714,1556.828,23.82899999999995,False,2024-12-20 11:05:00,1612.4289999999999,stop,41,-976.988999999998,69.63541789773399,-1046.624417897732,-3118.322245551306,-4.470970263688034,FAOP65702
A,2025-01-22,2025-03-28,2025-01-22,2025-01-22,65,False,NSE:JKCEMENT,JKCEMENT,large_cap,417642872.9116667,1198.3182222222222,3258.75,2.7194362395297706,SHORT,2025-01-22 09:30:00,4562.35,4564.05,4629.9,4630.78525,4516.726500000001,4471.103,68.43524999999954,True,2025-01-22 14:10:00,4539.5382500000005,t1_partial+be_trail,14,319.36449999999786,67.750302478313,251.61419752168484,-4667.483831004597,-6.715670237997873,FAOP66251
A,2025-05-22,2025-08-01,2025-05-22,2025-05-22,71,False,NSE:BSOFT,BSOFT,mid_cap,770546127.105,25991.21688888889,42056.5,1.6181043073046317,SHORT,2025-05-22 09:30:00,420.35,422.9,423.7,425.8185,416.1465,411.94300000000004,5.468499999999949,False,2025-05-22 15:10:00,421.55,time_stop,182,-218.39999999999793,74.35915227480001,-292.75915227479794,-147.14933796119584,-0.09506833036244666,FAOP68113
A,2025-05-22,2025-08-01,2025-05-22,2025-05-22,71,False,NSE:HINDCOPPER,HINDCOPPER,large_cap,1130942942.4243333,69564.29955555555,188861.0,2.7149126952564444,SHORT,2025-05-22 09:30:00,225.55,226.99,229.4,228.93325,223.2945,221.03900000000002,3.3832499999999754,False,2025-05-22 12:00:00,228.93325,stop,295,-998.0587499999928,70.8296763951025,-1068.8884263950952,-7673.424831769894,-10.253859621200057,FAOP68113
A,2025-05-22,2025-08-01,2025-05-22,2025-05-22,71,False,NSE:BALKRISIND,BALKRISIND,large_cap,739295932.3883334,3869.2271111111113,7774.75,2.0093806273799615,SHORT,2025-05-22 09:30:00,2664.3,2670.6,2687.7,2701.1384999999996,2637.657,2611.014,36.838499999999385,True,2025-05-22 15:10:00,2642.5533703703704,t1_partial+time_stop,27,587.1590000000042,76.207117987646,510.95188201235817,4687.697067787405,7.086012861736335,
A,2025-05-22,2025-08-01,2025-05-22,2025-05-22,71,False,NSE:CHAMBLFERT,CHAMBLFERT,mid_cap,1555965749.87,31062.378666666667,55238.5,1.7783087571228715,SHORT,2025-05-22 09:30:00,601.0,603.85,604.79,607.8139499999999,594.99,588.98,6.813949999999863,True,2025-05-22 13:00:00,591.985,t1_partial+t2_full,146,1316.189999999998,92.70285138885997,1223.487148611138,2119.1147774517935,2.568478539124497,
A,2025-06-23,2025-08-29,2025-06-23,2025-06-23,67,False,NSE:ATGL,ATGL,large_cap,764874811.5683333,15336.612,71634.25,4.67080017411929,SHORT,2025-06-23 09:30:00,622.7,625.85,628.0,631.14,616.4730000000001,610.246,8.43999999999994,False,2025-06-23 14:50:00,631.14,stop,118,-995.919999999993,73.33822000672,-1069.258220006713,-6333.593043842594,-7.850536440991485,FAOP68685
A,2025-06-23,2025-08-29,2025-06-23,2025-06-23,67,False,NSE:GRANULES,GRANULES,mid_cap,587309428.325,15382.445333333333,51948.5,3.377128855282134,SHORT,2025-06-23 09:30:00,487.85,488.8,489.35,492.72850000000005,482.9715,478.093,4.878500000000031,False,2025-06-23 10:30:00,492.72850000000005,stop,204,-995.2140000000063,82.578470371684,-1077.7924703716903,-1602.4138306155978,-1.5041389057137033,FAOP68685
A,2025-06-23,2025-08-29,2025-06-23,2025-06-23,67,False,NSE:IRB,IRB,large_cap,893513603.9760001,234830.8688888889,515206.0,2.1939449546719163,SHORT,2025-06-23 09:30:00,48.34,48.44,48.6,48.842999999999996,47.8566,47.373200000000004,0.502999999999993,False,2025-06-23 10:55:00,48.842999999999996,stop,1988,-999.9639999999861,81.36480838842401,-1081.3288083884102,-2606.227588787592,-2.559967748437808,FAOP68685
A,2025-06-23,2025-08-29,2025-06-23,2025-06-23,67,False,NSE:POONAWALLA,POONAWALLA,large_cap,501919255.40833324,16400.389333333333,42860.5,2.613383080661825,SHORT,2025-06-23 09:30:00,416.1,418.5,419.9,421.99949999999995,411.939,407.778,5.899499999999932,False,2025-06-23 11:05:00,421.99949999999995,stop,169,-997.0154999999886,72.217903997593,-1069.2334039975817,-8514.269710290097,-10.71773414869649,FAOP68685
A,2025-06-23,2025-08-29,2025-06-23,2025-06-23,67,False,NSE:SJVN,SJVN,large_cap,850478880.1986668,112716.50577777778,277887.75,2.4653687415387036,SHORT,2025-06-23 09:30:00,96.34,96.57,96.9,97.38449999999999,95.3766,94.4132,1.044499999999985,False,2025-06-23 11:30:00,97.38449999999999,stop,957,-999.5864999999858,79.98011492017902,-1079.5666149201647,-4090.013023393538,-4.16791007659405,FAOP68685
A,2025-12-23,2026-02-25,2025-12-23,2025-12-23,64,True,NSE:IRCTC,IRCTC,large_cap,515480222.08500004,10011.05511111111,58362.25,5.829780113309402,SHORT,2025-12-23 09:30:00,682.25,682.5,686.55,689.9827499999999,675.4275,668.605,7.732749999999896,False,2025-12-23 15:10:00,680.9,time_stop,129,174.15000000000293,78.41535406809999,95.73464593190295,-381.5975269519029,-0.34326614081215956,FAOP71649
B,2024-12-20,2025-02-28,2024-12-19,2024-12-19,70,False,NSE:ABBOTINDIA,ABBOTINDIA,large_cap,251920518.89333335,118.7431111111111,183.75,1.547458191726678,SHORT,2024-12-19 09:30:00,28104.0,28126.05,28196.7,28385.04,27822.96,27541.92,281.0400000000009,False,2024-12-19 10:40:00,28385.04,stop,3,-843.1200000000026,77.17174069071999,-920.2917406907226,-3555.849381115,-3.9622738223384024,FAOP65702
B,2024-12-20,2025-02-28,2024-12-19,2024-12-19,70,False,NSE:BATAINDIA,BATAINDIA,mid_cap,276817779.23333335,2687.6226666666666,6546.25,2.4357027797056827,SHORT,2024-12-19 09:30:00,1366.05,1366.7,1384.95,1386.54075,1352.3895,1338.729,20.490749999999935,False,2024-12-19 15:10:00,1366.2,time_stop,48,-7.200000000004366,69.692042088,-76.89204208800436,-801.9974771568,-1.1040324332150853,FAOP65702
B,2025-03-21,2025-05-27,2025-03-20,2025-03-20,67,False,NSE:DEEPAKNTR,DEEPAKNTR,large_cap,959505944.6216668,6550.6395555555555,11315.0,1.727312257686934,SHORT,2025-03-20 09:30:00,2067.35,2070.05,2073.65,2088.0235,2046.6764999999998,2026.003,20.673499999999876,True,2025-03-20 15:10:00,2038.83825,t1_partial+time_stop,48,1368.5640000000003,104.88908955261599,1263.6749104473843,3575.4375559519913,3.826934183763142,FAOP67222
B,2025-05-22,2025-08-01,2025-05-21,2025-05-21,71,False,NSE:MGL,MGL,mid_cap,799689207.7833334,8013.960444444445,17393.25,2.1703688358054727,SHORT,2025-05-21 09:30:00,1386.2,1387.9,1391.2,1400.0620000000001,1372.338,1358.476,13.86200000000008,True,2025-05-21 15:10:00,1377.419,t1_partial+time_stop,72,632.2320000000045,105.809013238608,526.4229867613965,1962.3253233920066,2.091618795109751,FAOP68113
B,2025-06-23,2025-08-29,2025-06-20,2025-06-20,67,False,NSE:ATGL,ATGL,large_cap,764874811.5683333,15336.612,39803.5,2.5953254864894544,SHORT,2025-06-20 09:30:00,625.35,628.95,633.55,634.73025,619.0965,612.843,9.380249999999933,True,2025-06-20 15:10:00,617.39825,t1_partial+time_stop,106,842.8855000000004,70.095528318187,772.7899716818134,-6123.593073480803,-8.36691332698366,FAOP68685
B,2025-06-23,2025-08-29,2025-06-20,2025-06-20,67,False,NSE:IRB,IRB,large_cap,893513603.9760001,234830.8688888889,399425.5,1.7009071332482686,SHORT,2025-06-20 09:30:00,47.93,48.06,48.49,48.64894999999999,47.4507,46.971399999999996,0.7189499999999924,False,2025-06-20 10:50:00,48.64894999999999,stop,1390,-999.3404999999894,70.890330778143,-1070.2308307781325,-2545.1897451576015,-3.580768457050898,FAOP68685
B,2025-06-23,2025-08-29,2025-06-20,2025-06-20,67,False,NSE:SJVN,SJVN,large_cap,850478880.1986668,112716.50577777778,354910.0,3.1486959035060065,SHORT,2025-06-20 09:30:00,94.34,94.66,95.3,95.7551,93.3966,92.4532,1.4150999999999954,False,2025-06-20 09:45:00,95.7551,stop,706,-999.0605999999967,70.8770854792836,-1069.9376854792804,-3784.6200590258336,-5.2811244979919625,FAOP68685
B,2025-10-24,2025-12-31,2025-10-23,2025-10-23,68,True,NSE:NCC,NCC,mid_cap,466703396.90233344,30259.64746227709,100426.0,3.318809319414416,SHORT,2025-10-23 09:30:00,210.71,211.0,211.37,212.8171,208.6029,206.4958,2.1071000000000026,False,2025-10-23 15:10:00,209.22,time_stop,474,706.2600000000043,82.58978874892,623.6702112510843,-1163.4302419228004,-1.070472792149868,FAOP70954
B,2025-12-23,2026-02-25,2025-12-22,2025-12-22,64,True,NSE:IRCTC,IRCTC,large_cap,515480222.08500004,10011.05511111111,49242.0,4.918762253675648,SHORT,2025-12-22 09:30:00,679.3,680.15,682.35,686.093,672.507,665.7139999999999,6.793000000000006,False,2025-12-22 15:10:00,682.3,time_stop,147,-441.0,82.6602234112,-523.6602234112,-545.7117097135133,-0.4615722763572583,FAOP71649
